"#",In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Segment_1,selectable,Segment,pronoun,ppron,i,we,you,shehe,they,ipron,cogproc,insight,cause,discrep,tentat,certitude,differ,time,focuspast,focuspresent,focusfuture
102,00:00:38:08,00:00:55:10,00:00:17:02,Student 1,English,"So I think if you draw like three squares, kind of in the circle area-- How do I explain that? And then you cut off the excess around the circle and put that in the missing place of the circle, you'll get the...",,,a,,1,16.28,11.63,4.65,0,6.98,0,0,4.65,13.95,6.98,2.33,0,6.98,0,2.33,2.33,0,0,2.33
103,00:00:55:56,00:00:58:43,00:00:02:47,Student 2,English,"But it doesn't evenly fit, though.",,,a,,1,16.67,0,0,0,0,0,0,16.67,33.33,0,0,0,0,0,33.33,0,0,16.67,0
104,00:00:58:44,00:00:59:07,00:00:00:23,Student 3,English,Yeah.,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,00:00:59:07,00:01:02:40,00:00:03:29,Student 1,English,"Yeah, but I think it's implying that that's....",,,a,,1,50,12.5,12.5,0,0,0,0,37.5,37.5,25,0,0,0,0,12.5,0,0,25,0
106,00:01:03:12,00:01:04:29,00:00:01:17,Student 2,English,Like trying to fit?,,,a,,1,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0
107,00:01:04:29,00:01:05:39,00:00:01:10,Student 3,English,Like it fits.,,,a,,1,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0
108,00:01:05:39,00:01:08:03,00:00:02:24,Student 2,English,"Yeah, but you have to find, like, the most perfect squares.",,,a,,1,9.09,9.09,0,0,9.09,0,0,0,27.27,9.09,0,0,0,9.09,9.09,0,0,0,18.18
109,00:01:08:05,00:01:26:46,00:00:18:41,Teacher,English,"I'm gonna call for two things we noticed, two thing we are left wondering... [crosstalk]
Yeah, you can just wonder, that's fine.
[Other Student 1], what's something that was discussed at your table? What's something either you noticed or you wonder about this demonstration?",,,a,,1,36.36,15.91,2.27,4.55,9.09,0,0,20.45,25,11.36,0,2.27,13.64,0,6.82,0,9.09,13.64,2.27
110,00:01:39:42,00:01:47:37,00:00:07:55,Teacher,English,"What do you see, [Other Student 1]? What did you guys witness?
[Student A5], do you wanna share? go for it.",,,a,,1,28.57,14.29,0,0,14.29,0,0,14.29,9.52,0,0,4.76,0,0,4.76,0,4.76,0,4.76
111,00:01:48:09,00:01:52:49,00:00:04:40,Student 1,English,I noticed... I wondered why we left [unintelligible].,,,a,,1,37.5,37.5,25,12.5,0,0,0,0,37.5,25,12.5,0,12.5,0,0,0,25,0,0
112,00:01:53:08,00:01:55:21,00:00:02:13,Teacher,English,"Okay, great. Go ahead, [Student A4].",,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67
113,00:01:55:53,00:02:06:27,00:00:10:30,Student 2,English,"[unintelligible] moving it, but it's still the same [unintelligible].",,,a,,1,22.22,0,0,0,0,0,0,22.22,22.22,0,0,0,0,0,22.22,0,0,11.11,0
114,00:02:06:27,00:02:20:41,00:00:14:14,Teacher,English,"Excellent. So you're saying that we move these little pieces, but [Student A5] is noticing there's still some tiny gaps. What else do we notice or wonder? [unintelligible]?",,,a,,1,21.43,10.71,0,7.14,3.57,0,0,10.71,21.43,10.71,0,0,7.14,0,10.71,0,0,10.71,0
115,00:02:20:41,00:02:27:08,00:00:06:27,Student 3,English,"Well, I just feel like it'd be really hard to do that without [unintelligible].",,,a,,1,21.43,7.14,7.14,0,0,0,0,14.29,21.43,7.14,0,0,0,7.14,7.14,0,7.14,7.14,0
116,00:02:29:23,00:02:34:55,00:00:05:32,Teacher,English,"But I mean, they all fit in there, don't they? I mean, are there still gaps?",,,a,,1,25,25,12.5,0,0,0,12.5,0,18.75,12.5,0,0,0,0,6.25,0,0,12.5,0
117,00:02:35:32,00:02:36:31,00:00:00:59,Student 2,English,Yes.,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,00:02:36:35,00:02:49:10,00:00:12:35,Teacher,English,Okay. Let's get back to something we already know about circles. What's a special number you guys know about circles?,,,a,,1,25,15,0,10,5,0,0,10,15,10,0,0,5,0,0,5,5,10,0
119,00:02:49:19,00:02:50:24,00:00:01:05,Student 3,English,3.14?,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,00:02:50:41,00:02:57:49,00:00:07:08,Teacher,English,"[Student 15], do you know that special number about circles? [crosstalk] Yeah, looking at you!",,,a,,1,20,13.33,0,0,13.33,0,0,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0
121,00:02:58:07,00:03:00:40,00:00:02:29,Student 4,English,[unintelligible] I wonder a lot of [unintelligible].,,,a,,1,14.29,14.29,14.29,0,0,0,0,0,14.29,14.29,0,0,14.29,0,0,0,0,0,0
122,00:03:01:21,00:03:02:45,00:00:01:24,Teacher,English,What do you wonder about that?,,,a,,1,50,16.67,0,0,16.67,0,0,33.33,16.67,16.67,0,0,16.67,0,0,0,0,0,0
123,00:03:03:03,00:03:05:03,00:00:02:00,Student 4,English,Why they get that. How they get that.,,,a,,1,50,25,0,0,0,0,25,25,25,12.5,25,0,0,0,0,0,0,0,0
124,00:03:05:26,00:03:23:28,00:00:18:02,Teacher,English,"How they got that? Cool. Good idea.
So, what's a special number we know about circles? We've been talking about it for about a week now. Say it, [Other Student 2].
Hi, could you guys tell your neighbors? What we know about Pi and how we use it?",,,a,,1,27.08,14.58,0,8.33,4.17,0,2.08,12.5,16.67,10.42,6.25,2.08,0,0,2.08,4.17,4.17,4.17,0
125,00:03:24:03,00:03:25:59,00:00:01:56,Student 2,English,Pi we just kind of take the...,,,a,,1,14.29,14.29,0,14.29,0,0,0,0,28.57,0,0,0,28.57,0,0,0,0,0,0
126,00:03:26:23,00:03:29:23,00:00:03:00,Student 1,English,"[unintelligible] three, but not the number.  [crosstalk] All right, go on.",,,a,,1,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,18.18,0,0,0,0
127,00:03:29:30,00:03:37:28,00:00:07:58,Student 2,English,"The first three digits.
3.14, we should just take that, multiply a number by it, and that's how we think of Pi.",,,a,,1,22.73,9.09,0,9.09,0,0,0,13.64,13.64,9.09,4.55,4.55,0,0,0,0,0,4.55,0
128,00:03:37:28,00:03:38:17,00:00:00:49,Student 1,English,Yeah.,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,00:03:38:20,00:03:51:24,00:00:13:04,Student 2,English,"And, the equation, like, we always take the tenths and the hundredths place, along with the whole numbers.  Also, blueberry pie with whipped cream is the best.",,,a,,1,3.7,3.7,0,3.7,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7,3.7,0
130,00:03:52:06,00:03:54:57,00:00:02:51,Teacher,English,"Two, one...",,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,00:03:55:41,00:03:56:37,00:00:00:56,Student 3,English,"So, I kind of...",,,a,,1,25,25,25,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0
132,00:03:56:37,00:04:38:57,00:00:42:16,Teacher,English,"Zero... [Student], what do we know about the number three as it relates to circles?
So we know the special relationship with circumference, but guess what. There's also a special relationship with circles. So let's go into the second part of activity 1. Where is that?
So where did the word radius square come from? go ahead and answer question number two...",,,a,,1,11.29,4.84,0,4.84,0,0,0,6.45,12.9,9.68,0,0,3.23,0,3.23,1.61,1.61,4.84,1.61
133,00:04:39:12,00:04:41:29,00:00:02:17,Student 1,English,"Oh, I could've looked at that!",,,a,,1,33.33,16.67,16.67,0,0,0,0,16.67,16.67,0,0,16.67,0,0,0,0,33.33,0,0
134,00:04:41:32,00:04:42:49,00:00:01:17,Teacher,English,...silently to yourself.,,,a,,1,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,00:04:43:08,00:04:44:03,00:00:00:55,Student 1,English,[crosstalk] Radius.,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,00:04:44:03,00:04:52:15,00:00:08:12,Teacher,English,"I have some unfinished questions here. Go ahead, question number 2. Why do we think we call this a radius square?",,,b,,1,19.05,14.29,4.76,9.52,0,0,0,4.76,19.05,14.29,4.76,0,9.52,0,0,4.76,0,0,4.76
137,00:04:56:02,00:04:57:31,00:00:01:29,Student 2,English,Because...,,,b,,1,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0
138,00:05:38:18,00:05:40:18,00:00:02:00,Student 1,English,ASMR.,,,b,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,00:05:41:36,00:05:49:05,00:00:07:29,Teacher,English,"All right, just about everybody has finished question number 2, let's read question number 3 together please. Um...",,,b,,1,11.11,5.56,0,5.56,0,0,0,5.56,11.11,11.11,0,0,11.11,0,0,5.56,0,11.11,0
140,00:05:50:04,00:06:03:53,00:00:13:45,Student 3,English,"With the circle, when a radius square has an area of 16 square units. So how many of these radius squares do you think it would take to cover just the circles? Well, if it's 16 per [unintelligible] square, we should do...",,,b,,1,11.9,4.76,0,2.38,2.38,0,0,7.14,11.9,4.76,2.38,4.76,2.38,0,2.38,2.38,0,4.76,0
141,00:06:03:53,00:06:05:16,00:00:01:23,Student 2,English,"Four squared, sixteen.",,,b,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,00:06:05:16,00:06:06:21,00:00:01:05,Student 3,English,"Exactly, which would be...",,,b,,1,25,0,0,0,0,0,0,25,75,0,0,25,0,25,25,0,0,0,0
143,00:06:06:21,00:06:32:06,00:00:25:45,Teacher,English,"All right, you are going to, now, read this with your team. So one person from each team is going to read it again. And you are going to decide how you think... Like how many of these radius squares you think would cover the circle. So I want you to think back to the animation you just saw. So go ahead and start by reading it, and then saying, ""I think...""",,,b,,1,18.06,12.5,2.78,0,9.72,0,0,5.56,13.89,11.11,2.78,2.78,0,0,0,6.94,4.17,5.56,9.72
144,00:06:32:06,00:06:52:51,00:00:20:45,Student 3,English,"How... I know like four squares would take that, but like... How many of those, how many square units, not...
And even though you could take four for each side, how many square units? So I think we should just do 16 times 4 to get the answer. [unintelligible]
Don't you think we should do 16 times 4 to get that answer?",,,b,yes,1,14.52,9.68,3.23,3.23,3.23,0,0,4.84,25.81,14.52,6.45,6.45,0,0,4.84,3.23,0,1.61,0
145,00:06:52:53,00:06:54:22,00:00:01:29,Student 1,English,"No, 16 times 3.",,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
146,00:06:55:14,00:06:56:14,00:00:01:00,Student 2,English,Really? Why?,,,b,yes,1,0,0,0,0,0,0,0,0,100,0,50,0,0,50,0,0,0,0,0
147,00:06:56:41,00:06:57:42,00:00:01:01,Student 1,English,I'm not tripping.,,,b,yes,1,33.33,33.33,33.33,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0,0,33.33,0
148,00:06:57:59,00:06:58:39,00:00:00:40,Student 3,English,"Oh, cause...",,,b,yes,1,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0
149,00:06:58:39,00:07:00:05,00:00:01:22,Student 1,English,"Wait, are you guys on the other one?",,,b,yes,1,12.5,12.5,0,0,12.5,0,0,0,12.5,0,0,0,0,0,12.5,12.5,0,12.5,0
150,00:07:00:05,00:07:04:39,00:00:04:34,Student 3,English,"Yeah, we're on 2. No. This one right here.",,,b,yes,1,22.22,11.11,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0
151,00:07:06:05,00:07:06:45,00:00:00:40,Student 1,English,"Oh, yeah.",,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,00:07:07:15,00:07:07:36,00:00:00:21,Student 3,English,Yeah.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,00:07:08:00,00:07:08:42,00:00:00:42,Student 1,English,Two.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,00:07:09:05,00:07:09:57,00:00:00:52,Student 2,English,"Good, [Student 1].",,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,00:07:09:57,00:07:13:36,00:00:03:39,Student 1,English,But the animation showed only 3 squares. And then...,,,b,yes,1,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,11.11,11.11,0,0
156,00:07:13:36,00:07:24:21,00:00:10:45,Student 2,English,"Because it could mean that 3 would be only necessary, but 4 to get a perfect circle, we could just lop off the excess and get rid of it somehow.",,,b,yes,1,13.33,3.33,0,3.33,0,0,0,10,26.67,3.33,3.33,10,3.33,3.33,3.33,0,0,0,0
157,00:07:24:53,00:07:32:27,00:00:07:34,Student 1,English,"No, but I think... there wouldn't be any...
I don't know, I think...",,,b,yes,1,23.08,23.08,23.08,0,0,0,0,0,46.15,23.08,0,7.69,7.69,0,7.69,0,0,7.69,0
158,00:07:32:27,00:07:33:13,00:00:00:46,Student 3,English,"It says only, like...",,,b,yes,1,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0
159,00:07:33:13,00:07:33:54,00:00:00:41,Student 1,English,I think it's 3.,,,b,yes,1,50,25,25,0,0,0,0,25,25,25,0,0,0,0,0,0,0,25,0
160,00:07:33:54,00:07:41:29,00:00:07:35,Student 2,English,"I mean, there wouldn't be any excess if there was 3, but you can't perfectly fill the circle unless there's 4.",,,b,yes,1,9.52,9.52,4.76,0,4.76,0,0,0,38.1,4.76,0,9.52,9.52,4.76,19.05,0,4.76,9.52,0
161,00:07:41:31,00:07:42:00,00:00:00:29,Student 3,English,Yeah.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,00:07:42:00,00:07:53:29,00:00:11:29,Student 2,English,"And then you could have some excess to do whatever you want with it.
Because if the only goal here is to fill the circle, 4 is necessary.",,,b,yes,1,14.29,7.14,0,0,7.14,0,0,7.14,14.29,0,3.57,7.14,3.57,0,3.57,3.57,0,7.14,0
163,00:07:53:30,00:07:54:05,00:00:00:35,Student 3,English,Yeah.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,00:07:54:26,00:07:59:14,00:00:04:48,Student 2,English,"If you aren't caring about what the excess is, it's 4.",,,b,yes,1,27.27,9.09,0,0,9.09,0,0,18.18,18.18,0,0,0,9.09,0,18.18,0,0,27.27,0
165,00:08:00:07,00:08:02:07,00:00:02:00,Student 3,English,"Cause only 3 would be, like...",,,b,yes,1,0,0,0,0,0,0,0,0,33.33,0,16.67,16.67,0,0,0,0,0,0,0
166,00:08:02:29,00:08:03:43,00:00:01:14,Student 2,English,Like a very...,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,00:08:03:43,00:08:05:08,00:00:01:25,Student 3,English,Three fourths of it.,,,b,yes,1,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
168,00:08:05:17,00:08:05:36,00:00:00:19,Student 2,English,Yeah.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,00:08:05:36,00:08:15:45,00:00:10:09,Student 3,English,"It could, like... maybe to, like...  it could be like a little bit left still to probably also have to make up for that. The answer's... Is my clock still going?",,,b,yes,1,12.9,3.23,3.23,0,0,0,0,9.68,19.35,3.23,3.23,6.45,6.45,0,0,3.23,0,3.23,9.68
170,00:08:15:47,00:08:22:03,00:00:06:16,Student 2,English,"I mean, if we don't care about the excess 4, is correct. Three is still just gaps.",,,b,yes,1,11.76,11.76,5.88,5.88,0,0,0,0,17.65,5.88,0,0,5.88,0,11.76,0,0,11.76,0
171,00:08:22:04,00:08:24:04,00:00:02:00,Teacher,English,So somewhere between 3 and 4.,,,b,,1,0,0,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0
172,00:08:24:23,00:08:25:07,00:00:00:44,Student 3,English,3 and a half?,,,b,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,00:08:25:50,00:08:26:50,00:00:01:00,Teacher,English,"Not three and a half, no.",,,b,,1,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0
174,00:08:26:50,00:08:27:43,00:00:00:53,Teacher,English,What was our special number?,,,b,,1,40,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0
175,00:08:27:45,00:08:28:56,00:00:01:11,Student 3,English,It was 4...,,,b,yes,1,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0
176,00:08:28:58,00:08:31:25,00:00:02:27,Student 2,English,3.14?,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,00:08:31:40,00:08:32:39,00:00:00:59,Student 3,English,3.14?,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,00:08:35:48,00:08:36:52,00:00:01:04,Student 1,English,3.14.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,00:08:36:52,00:08:48:10,00:00:11:18,Student 3,English,"So 16 times 3.14. Should we do that and just try to find like... Because it's not saying, like, how many squares need to be filled up. It's how many squares units need to fill up.",,,b,yes,1,11.11,2.78,0,2.78,0,0,0,8.33,25,8.33,8.33,11.11,0,0,2.78,2.78,0,5.56,0
180,00:08:48:10,00:08:51:05,00:00:02:55,Student 1,English,So it's 16... What's 16 times pi?,,,b,yes,1,28.57,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,14.29,0,28.57,0
181,00:08:51:34,00:08:55:27,00:00:03:53,Student 3,English,"Yeah. Or six... We could just do that with that, but it takes a little bit longer.",,,b,yes,1,23.53,5.88,0,5.88,0,0,0,17.65,17.65,0,0,5.88,5.88,0,11.76,0,0,5.88,0
182,00:08:55:35,00:08:56:07,00:00:00:32,Student 2,English,Okay.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,00:08:56:07,00:08:57:42,00:00:01:35,Student 3,English,"Just give us the answer, [Student 2].",,,b,yes,1,14.29,14.29,0,14.29,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,14.29,0
184,00:08:58:03,00:08:59:19,00:00:01:16,Student 2,English,16...,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,00:08:59:33,00:09:06:30,00:00:06:53,Student 1,English,"So if you're trying to find the area of the circle you get the radius square's area first, and then you multiply that by pi.",,,b,yes,1,16,12,0,0,12,0,0,4,12,4,0,4,4,0,4,4,0,4,0
186,00:09:06:30,00:09:07:56,00:00:01:26,Student 2,English,50.26.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,00:09:08:09,00:09:11:11,00:00:03:02,Student 3,English,Let's do 50.26 since we're always doing the ...,,,b,yes,1,25,25,0,25,0,0,0,0,12.5,0,12.5,0,0,0,0,25,0,25,0
188,00:09:11:14,00:09:12:30,00:00:01:16,Student 1,English,50 point...,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,00:09:12:30,00:09:14:30,00:00:02:00,Student 2,English,50 point 26.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,00:09:14:35,00:09:15:49,00:00:01:14,Student 1,English,2 6.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,00:09:15:49,00:09:17:04,00:00:01:15,Student 3,English,Square units.,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,00:09:23:10,00:09:24:39,00:00:01:29,Student 2,English,"now, time for Pi.",,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0
193,00:09:24:39,00:09:26:39,00:00:02:00,Student 3,English,[unintelligible] just gonna be with...,,,b,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
194,00:09:27:33,00:09:29:47,00:00:02:14,Teacher,English,All right. Waterfall.,,,b,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,00:09:30:01,00:09:30:57,00:00:00:56,Student 2,English,I have no idea...,,,b,,1,25,25,25,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0
196,00:09:30:57,00:09:32:57,00:00:02:00,Student 3,English,If [unintelligible]'s gonna be with us...,,,b,,1,14.29,14.29,0,14.29,0,0,0,0,14.29,0,0,0,14.29,0,14.29,0,0,0,14.29
197,00:09:33:01,00:09:36:07,00:00:03:06,Teacher,English,About how many radius squares...,,,b,,1,0,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0
198,00:09:36:07,00:09:37:45,00:00:01:38,Student 3,English,"No, like, just this class.",,,b,,1,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
199,00:09:38:04,00:09:39:00,00:00:00:56,Teacher,English,"Oh, I'm waiting.",,,b,,1,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0
200,00:09:39:16,00:09:40:33,00:00:01:17,Student 3,English,Just us.,,,b,,1,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,00:09:40:40,00:09:54:52,00:00:14:12,Teacher,English,"About how many radius squares can...
Your team figured it out, but I don't know if everybody else did, so we wanna hear from you, okay?
About how many radius squares would fit in that circle? [Student 1]?",,,b,,1,15.79,10.53,2.63,2.63,5.26,0,0,5.26,31.58,15.79,5.26,7.89,2.63,0,7.89,0,2.63,5.26,2.63
202,00:09:55:24,00:09:57:44,00:00:02:20,Student 1,English,3.14 radius squares.,,,b,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
